Feature	Gain	Cover	Frequency
Visa_fultimo_cierre	0.00377693864082117	0.00662474733800259	0.00576036866359447
Master_mconsumospesos	0.00348102534973475	0.00179864223295971	0.00416940969936362
Visa_mpagosdolares	0.00320895743186256	0.00321298269862264	0.00378538512179065
Master_mpagominimo	0.00320282588754448	0.00215417801553772	0.00340136054421769
ccomisiones_mantenimiento	0.00311284420645596	0.00284983750624751	0.00345622119815668
mplazo_fijo_dolares	0.00307602428919752	0.01866551504812	0.00526662277814352
mcaja_ahorro_adicional	0.00303271627153539	0.00552720471983619	0.00471801623875357
Master_msaldopesos	0.00299055798928249	0.00502167901525715	0.00499231950844854
cseguro_accidentes_personales	0.00293975225191684	0.00178316251931528	0.00373052446785166
cmobile_app_trx	0.00289427490519107	0.000241650698300077	0.00340136054421769
ccaja_ahorro	0.00276136022809969	0.0063591427007983	0.00444371296905859
Visa_mconsumototal	0.00239065975653441	0.00324714049371194	0.00521176212420452
tpaquete7	0.00235608920048502	0.00331287130024517	0.00224928681149879
active_quarter	0.00229225637023472	0.00115579446192759	0.00378538512179065
mtarjeta_visa_descuentos	0.00227328787730233	0.0116924355021473	0.00422427035330261
cpagomiscuentas	0.00225933950025376	0.00929306056177552	0.00537634408602151
internet	0.00225165242068284	0.00623333379215256	0.00411454904542462
Visa_mconsumosdolares	0.00215057351069439	0.00421769051726415	0.00460829493087558
tmobile_app	0.0021029797524623	0.00161969307138791	0.00224928681149879
matm_other	0.00207476230298688	0.00648473902910685	0.0021944261575598
ccajas_consultas	0.00197667615868708	0.000860196671694401	0.00235900811937678
Visa_Finiciomora	0.00187108487636748	0.00553180418531357	0.00268817204301075
catm_trx	0.00186415170935547	0.00803481687143653	0.00345622119815668
ctarjeta_master_trx	0.001780954870997	0.00200269036843376	0.00208470484968181
mttarjeta_master_debitos_automaticos	0.00177732408313937	0.00167071235231337	0.00192012288786482
Master_cconsumos	0.00176406833600403	0.00270807540956996	0.0032367785824007
Master_mconsumototal	0.00173976435727051	0.001354561908571	0.00274303269694975
tpaquete9	0.00173608250705032	0.000583735943179556	0.00142637700241387
mtarjeta_master_consumo	0.001726384974052	0.00217793869958994	0.00192012288786482
thomebanking	0.00163282241857053	0.00378112780661787	0.00285275400482774
Visa_msaldodolares	0.00156565158735047	0.00361055624287986	0.00246872942725477
ctarjeta_master_debitos_automaticos	0.00155723584018896	0.00361684668831214	0.00202984419574281
ccajas_trx	0.00141941930435795	0.000186297677318731	0.000822909809084924
Master_status	0.00140104190821429	0.000218807974794813	0.00115207373271889
mcajeros_propios_descuentos	0.00133790597714727	0.00334075797538738	0.000822909809084924
tcuentas	0.00127135758118811	0.00251348226772954	0.00115207373271889
tcallcenter	0.00124026772693024	0.000332939459009035	0.00126179504059688
cseguro_vivienda	0.00107896948285321	0.000619256184975389	0.00142637700241387
cseguro_vida	0.00104354545417792	0.000421938149721907	0.00115207373271889
ctarjeta_master	0.00103102042843547	0.0001949554946879	0.00043888523151196
mpagodeservicios	0.00101141045327095	0.000768115566092283	0.000603467193328944
ccaja_seguridad	0.000983815309935156	0.00864299472202157	0.0021944261575598
cpagodeservicios	0.000945135817986353	0.00320903546827074	0.000713188501206934
cliente_vip	0.000916457698986302	0.00247900077076316	0.00164581961816985
catm_trx_other	0.000889177076956072	0.00766052570547285	0.00224928681149879
Master_mpagosdolares	0.000888347624933272	0.0012460541405497	0.0010423524248409
mcheques_emitidos	0.000876145688766026	0.018189533179039	0.00257845073513276
mforex_sell	0.000820800670828905	0.000278117888870662	0.000658327847267939
cforex_sell	0.000766058351244621	0.000313019715140126	0.00054860653938995
Master_mpagado	0.000752797922143724	0.00488448739582917	0.00208470484968181
ccajas_otras	0.000687367481927941	0.00322194972375499	0.0010972130787799
ctarjeta_visa	0.000628434462244245	0.000588156647918836	0.000768049155145929
ctarjeta_visa_descuentos	0.000616297489558569	0.00262555075639877	0.00120693438665789
tpaquete1	0.000604926982517672	0.0007014281480417	0.000713188501206934
mprestamos_prendarios	0.000596092912332144	0.00196714113841013	0.00126179504059688
cprestamos_prendarios	0.000590991690168722	0.00762793810605597	0.00164581961816985
Visa_delinquency	0.000588101609668918	0.000960568410446907	0.000932631116962914
mforex_buy	0.000568230719637516	0.00437009612491507	0.0010972130787799
minversion2	0.000558183738028867	0.00556774958778378	0.00148123765635286
ccajas_extracciones	0.000544361856026618	0.000348945792125138	0.0010423524248409
cplazo_fijo	0.000542640932429323	0.0055833162661116	0.00153609831029186
Master_msaldodolares	0.000538707245236323	0.00404717209861043	0.00137151634847487
mcheques_depositados	0.000487000022888565	0.00125668315740917	0.00115207373271889
cforex	0.000468539310450897	0.000307400830318505	0.00032916392363397
Visa_status	0.000456146824354373	0.00379175682347734	0.000987491770901909
ccheques_depositados	0.000430150881075613	0.00394427355266815	0.00115207373271889
Master_delinquency	0.000348100218319676	3.10753802000539e-05	0.000274303269694975
Master_mconsumosdolares	0.000306753822846544	0.00243480821748426	0.000658327847267939
cinversion2	0.000304299502196171	0.0119620501775304	0.00175554092604784
mtarjeta_master_descuentos	0.000213018363599511	0.00119948938396262	0.00043888523151196
mprestamos_hipotecarios	0.000200639401285306	0.0110229813693675	0.00148123765635286
ccheques_emitidos	0.000184377979852157	0.00276098858804493	0.000658327847267939
minversion1_pesos	0.000156483736759203	0.00699665180654418	0.0010972130787799
cforex_buy	0.00015526444034183	0.000987150615338184	0.000493745885450955
ccajeros_propios_descuentos	0.000118033505086685	0.00377463927496229	0.000768049155145929
Visa_madelantopesos	8.95054640606716e-05	1.05613776612745e-05	0.00021944261575598
cseguro_auto	8.24567875137164e-05	0.00015496140306849	0.000384024577572965
cinversion1	8.20435354023143e-05	0.000307569928313997	0.00032916392363397
ccajas_depositos	7.3735026449852e-05	0.00146637433456134	0.000493745885450955
Master_Finiciomora	6.80781620183466e-05	0.0010370683436073	0.00021944261575598
cprestamos_hipotecarios	6.75525144112408e-05	1.01410483581954e-05	0.00010972130787799
ctarjeta_master_descuentos	2.31221554561822e-05	2.64131068957858e-05	5.4860653938995e-05
Master_madelantopesos	2.18234881561708e-05	2.27074451088702e-06	5.4860653938995e-05
ccuenta_corriente	1.88404507176607e-05	0.00358083364664374	0.000384024577572965
