Feature	Gain	Cover	Frequency
ctransferencias_emitidas	0.00532184041403633	0.0153535599623977	0.00882866235499435
Master_status	0.00503181519093508	0.0117909682490004	0.00246381275023098
ctarjeta_visa_debitos_automaticos	0.00489496358201427	0.00578469129473195	0.00708346165691407
Visa_mconsumototal	0.00486813914551647	0.00631935917070232	0.0101632275947028
ccallcenter_trx	0.00483271259215888	0.00639369003758217	0.00297710707319577
Master_mpagominimo	0.00483060423491963	0.00771925043987333	0.00657016733394929
Visa_mlimitecompra	0.00482187899054321	0.00825860307672099	0.0087260034904014
cprestamos_personales	0.00474788479757797	0.00522639790238899	0.00195051842726619
ccaja_ahorro	0.00464648105488261	0.0100947419010419	0.0041063545837183
Visa_mpagado	0.00458083143145887	0.0112605564959368	0.00882866235499435
mcuenta_debitos_automaticos	0.00449074492453992	0.00756405828056346	0.00841802689662252
thomebanking	0.00444476067705035	0.00412688603732688	0.00318242480238169
ctarjeta_debito_trx	0.00409246325285612	0.0107713393732357	0.0165280771994662
Master_msaldototal	0.00387011871970478	0.00527564588379663	0.00595421414639154
Master_fultimo_cierre	0.00356587058437903	0.00167373546150775	0.00287444820860281
Master_mpagospesos	0.0035549260618862	0.013519029791166	0.00657016733394929
Master_msaldopesos	0.00323370760341527	0.00609181292197643	0.0053382609588338
cpagomiscuentas	0.00323180057199347	0.00622354093450259	0.00667282619854224
cextraccion_autoservicio	0.00280763317422627	0.00508665183841514	0.00708346165691407
ccuenta_debitos_automaticos	0.00268755998381119	0.00923467224908623	0.0053382609588338
mdescubierto_preacordado	0.00254159434456897	0.00689109666691921	0.00205317729185915
Visa_mpagosdolares	0.00225069366125429	0.00582131714860905	0.0041063545837183
Master_mconsumospesos	0.00220152737475123	0.00381731360945122	0.00451699004209014
cmobile_app_trx	0.00214148493486367	0.00171446615430209	0.00318242480238169
ccajas_consultas	0.00210990379194378	0.00928373364690672	0.00195051842726619
ctarjeta_debito	0.00210373759438398	0.00230077734151509	0.00359306026075352
mplazo_fijo_dolares	0.00210152418596916	0.0140408133140238	0.00256647161482394
Master_mconsumototal	0.00209182416223135	0.00369463742230155	0.00441433117749718
tcallcenter	0.00202206948628968	0.00271140747442958	0.00133456523970845
Visa_mconsumosdolares	0.00183692439425913	0.00255344177531076	0.00482496663586901
Master_cconsumos	0.00175188546929857	0.00225489795027541	0.00277178934400986
Visa_Finiciomora	0.00155270202145134	0.00579824634019824	0.00133456523970845
matm	0.00137103743692277	0.00267124157519633	0.00287444820860281
Visa_fultimo_cierre	0.00137050403275428	0.00201731148744113	0.00349040139616056
cseguro_accidentes_personales	0.00128284773578324	0.00751595501467697	0.00205317729185915
Visa_status	0.00127144180832986	0.00421499887565739	0.00102658864592958
ccaja_seguridad	0.00114750299561552	0.00493018889359281	0.00112924751052253
Visa_msaldodolares	0.00110352362682248	0.00237302048933876	0.00153988296889436
catm_trx	0.00106326330687563	0.004666435343361	0.00277178934400986
ctarjeta_master	0.000981619460591823	0.000171092106614628	0.000513294322964788
mtarjeta_master_consumo	0.000898549609470375	0.00303073267683343	0.00174520069808028
cinversion1	0.000815234055278625	0.00721470320622816	0.000923929781336618
ccajas_trx	0.000808723643451353	0.00176327036934029	0.000821270916743661
Master_mpagado	0.000603777432779317	0.00562288298227783	0.00123190637511549
tmobile_app	0.000603508251602961	0.00730653763070231	0.00112924751052253
matm_other	0.000585567178207516	0.00288816768785377	0.00215583615645211
mcheques_emitidos	0.000558756813238392	0.00239511299461695	0.000307976593778873
Master_mconsumosdolares	0.000492379175708265	0.000350827571833874	0.000718612052150703
Master_mpagosdolares	0.000464378130929002	0.000487028547651915	0.00143722410430141
mtarjeta_visa_descuentos	0.000454192247567771	0.00461106540317506	0.00164254183348732
tpaquete9	0.000410136404185568	0.00279446742750814	0.000821270916743661
cplazo_fijo	0.000404808525144717	0.00235991425304155	0.000718612052150703
ctarjeta_master_trx	0.000404769377040356	0.00127361956586901	0.000615953187557746
tpaquete7	0.000378209353749717	0.0045814843404127	0.000718612052150703
mttarjeta_master_debitos_automaticos	0.00037183605993116	0.00146060153418909	0.000821270916743661
Visa_madelantopesos	0.000356971047050034	0.000197022182428482	0.000718612052150703
ctarjeta_master_debitos_automaticos	0.00033572543132602	0.00284620150914453	0.000718612052150703
Visa_delinquency	0.000319159952442411	0.000778083815203097	0.00041063545837183
active_quarter	0.000276547731344216	0.000517350901963214	0.000615953187557746
ccajas_extracciones	0.000272177640013989	0.000805572116109615	0.000307976593778873
internet	0.000272103864162949	0.00308796845289085	0.000615953187557746
mcaja_ahorro_adicional	0.000236317909181186	0.00195060029083641	0.00041063545837183
minversion2	0.00023317964161759	0.00479263140466821	0.000615953187557746
ctarjeta_visa_descuentos	0.000204932116929588	0.00154952122046402	0.000923929781336618
tpaquete1	0.000192954370312622	0.00378737450791352	0.000513294322964788
ccajeros_propios_descuentos	0.000175765854586158	0.00331573658480145	0.000615953187557746
cseguro_vida	0.000173789745930041	0.000374932154173473	0.00041063545837183
Visa_madelantodolares	0.000155939891092058	0.000620803936837038	0.000615953187557746
mcheques_depositados	0.000129969570015292	0.00226598706671156	0.000307976593778873
catm_trx_other	0.00011118336421989	0.000190829624455045	0.00041063545837183
Master_msaldodolares	0.000103527690324773	0.000156246104437268	0.000102658864592958
cseguro_auto	8.97508818693835e-05	0.00236644972139137	0.000307976593778873
ccheques_depositados	7.14280010259104e-05	0.00148541210848006	0.000205317729185915
ctarjeta_visa	5.91576848552661e-05	9.00139737995495e-05	0.000205317729185915
cforex	3.99480931712763e-05	0.000144057657676848	0.000205317729185915
Visa_cadelantosefectivo	3.70302364625862e-05	7.46889056551892e-05	0.000102658864592958
Master_delinquency	2.38461409044822e-05	5.29897387498972e-05	0.000102658864592958
cseguro_vivienda	9.97124379470647e-06	5.44672790481195e-05	0.000102658864592958
mforex_sell	1.46175450003053e-06	0.00012123898924867	0.000205317729185915
Master_cadelantosefectivo	3.31887789540426e-12	1.77909971744992e-05	0.000102658864592958
mcajeros_propios_descuentos	1.26030695046332e-12	9.10931329252135e-05	0.000102658864592958
Master_madelantopesos	1.23836202185826e-13	4.59146908372492e-05	0.000102658864592958
